      0.000     0.000     0.389     0.679     0.842     0.891     0.864     0.800     0.731     0.675     0.639     0.622     0.618     0.621     0.627     0.631     0.631     0.629     0.624     0.618     0.611     0.605     0.599     0.594     0.590     0.585     0.581     0.577     0.574     0.570     0.566     0.562     0.559     0.556     0.553     0.550     0.547     0.544     0.542     0.539     0.537     0.535     0.533     0.531     0.529     0.527     0.526     0.524     0.522     0.521     0.519     0.518     0.516     0.515     0.514     0.512     0.511     0.509     0.507     0.506     0.504     0.502     0.500     0.498     0.496     0.494     0.491     0.489     0.486     0.483     0.481     0.478     0.475     0.471     0.468     0.465     0.461     0.457     0.454     0.450     0.446     0.442     0.438     0.434     0.430     0.425     0.421     0.417     0.412     0.408     0.404     0.399     0.395     0.391     0.387     0.382     0.378     0.374     0.370     0.366     0.362     0.358     0.355     0.351     0.347     0.344     0.341     0.337     0.334     0.331     0.328     0.325     0.323     0.320     0.317     0.315     0.312     0.309     0.307     0.304     0.302     0.300     0.297     0.295     0.292     0.290     0.287     0.284     0.282     0.279     0.276     0.273     0.270     0.267     0.264     0.261     0.258     0.254     0.251     0.247     0.243     0.240     0.236     0.232     0.228     0.224     0.220     0.216     0.212     0.208     0.204     0.200     0.196     0.191     0.187     0.183     0.179     0.175     0.171     0.167     0.163     0.159     0.155     0.152     0.148     0.144     0.140     0.136     0.132     0.129     0.125     0.121     0.117     0.113     0.110     0.106     0.102     0.098     0.094     0.090     0.086     0.082     0.078     0.073     0.069     0.065     0.061     0.056     0.052     0.048     0.044     0.039     0.035     0.030     0.026     0.022     0.017     0.013     0.009     0.004     0.000     0.000
      0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
      0.389     0.000    -0.389    -0.679    -0.842    -0.891    -0.864    -0.800    -0.731    -0.675    -0.639    -0.622    -0.618    -0.621    -0.627    -0.631    -0.631    -0.629    -0.624    -0.618    -0.611    -0.605    -0.599    -0.594    -0.590    -0.585    -0.581    -0.577    -0.574    -0.570    -0.566    -0.562    -0.559    -0.556    -0.553    -0.550    -0.547    -0.544    -0.542    -0.539    -0.537    -0.535    -0.533    -0.531    -0.529    -0.527    -0.526    -0.524    -0.522    -0.521    -0.519    -0.518    -0.516    -0.515    -0.514    -0.512    -0.511    -0.509    -0.507    -0.506    -0.504    -0.502    -0.500    -0.498    -0.496    -0.494    -0.491    -0.489    -0.486    -0.483    -0.481    -0.478    -0.475    -0.471    -0.468    -0.465    -0.461    -0.457    -0.454    -0.450    -0.446    -0.442    -0.438    -0.434    -0.430    -0.425    -0.421    -0.417    -0.412    -0.408    -0.404    -0.399    -0.395    -0.391    -0.387    -0.382    -0.378    -0.374    -0.370    -0.366    -0.362    -0.358    -0.355    -0.351    -0.347    -0.344    -0.341    -0.337    -0.334    -0.331    -0.328    -0.325    -0.323    -0.320    -0.317    -0.315    -0.312    -0.309    -0.307    -0.304    -0.302    -0.300    -0.297    -0.295    -0.292    -0.290    -0.287    -0.284    -0.282    -0.279    -0.276    -0.273    -0.270    -0.267    -0.264    -0.261    -0.258    -0.254    -0.251    -0.247    -0.243    -0.240    -0.236    -0.232    -0.228    -0.224    -0.220    -0.216    -0.212    -0.208    -0.204    -0.200    -0.196    -0.191    -0.187    -0.183    -0.179    -0.175    -0.171    -0.167    -0.163    -0.159    -0.155    -0.152    -0.148    -0.144    -0.140    -0.136    -0.132    -0.129    -0.125    -0.121    -0.117    -0.113    -0.110    -0.106    -0.102    -0.098    -0.094    -0.090    -0.086    -0.082    -0.078    -0.073    -0.069    -0.065    -0.061    -0.056    -0.052    -0.048    -0.044    -0.039    -0.035    -0.030    -0.026    -0.022    -0.017    -0.013    -0.009    -0.004     0.000     0.004
      0.776     0.000    -0.776    -1.356    -1.680    -1.778    -1.725    -1.597    -1.459    -1.347    -1.275    -1.240    -1.233    -1.240    -1.251    -1.258    -1.260    -1.255    -1.245    -1.233    -1.220    -1.207    -1.196    -1.185    -1.176    -1.168    -1.160    -1.152    -1.144    -1.137    -1.129    -1.122    -1.115    -1.109    -1.102    -1.096    -1.091    -1.085    -1.080    -1.075    -1.071    -1.067    -1.063    -1.059    -1.055    -1.052    -1.048    -1.045    -1.042    -1.039    -1.036    -1.033    -1.030    -1.027    -1.024    -1.021    -1.018    -1.015    -1.012    -1.009    -1.005    -1.001    -0.997    -0.993    -0.989    -0.985    -0.980    -0.975    -0.970    -0.964    -0.959    -0.953    -0.947    -0.940    -0.934    -0.927    -0.920    -0.912    -0.905    -0.897    -0.889    -0.881    -0.873    -0.865    -0.857    -0.848    -0.840    -0.831    -0.822    -0.814    -0.805    -0.796    -0.788    -0.779    -0.771    -0.762    -0.754    -0.746    -0.738    -0.730    -0.722    -0.714    -0.707    -0.700    -0.693    -0.686    -0.679    -0.673    -0.666    -0.660    -0.654    -0.648    -0.643    -0.637    -0.632    -0.627    -0.622    -0.617    -0.612    -0.607    -0.602    -0.597    -0.592    -0.587    -0.582    -0.577    -0.572    -0.567    -0.562    -0.556    -0.550    -0.545    -0.539    -0.533    -0.526    -0.520    -0.513    -0.506    -0.499    -0.492    -0.485    -0.477    -0.470    -0.462    -0.454    -0.446    -0.438    -0.430    -0.422    -0.414    -0.406    -0.397    -0.389    -0.381    -0.373    -0.365    -0.357    -0.349    -0.341    -0.333    -0.325    -0.317    -0.309    -0.302    -0.294    -0.286    -0.279    -0.271    -0.263    -0.256    -0.248    -0.241    -0.233    -0.225    -0.218    -0.210    -0.202    -0.194    -0.186    -0.178    -0.170    -0.162    -0.154    -0.146    -0.137    -0.129    -0.120    -0.112    -0.103    -0.095    -0.086    -0.077    -0.069    -0.060    -0.051    -0.043    -0.034    -0.026    -0.017    -0.009     0.000     0.009
      1.161     0.000    -1.161    -2.029    -2.513    -2.659    -2.579    -2.388    -2.181    -2.013    -1.905    -1.853    -1.842    -1.853    -1.869    -1.880    -1.882    -1.875    -1.861    -1.842    -1.823    -1.804    -1.787    -1.771    -1.758    -1.745    -1.733    -1.721    -1.710    -1.698    -1.687    -1.677    -1.666    -1.656    -1.647    -1.638    -1.629    -1.621    -1.614    -1.607    -1.600    -1.594    -1.588    -1.582    -1.576    -1.571    -1.566    -1.561    -1.557    -1.552    -1.548    -1.543    -1.539    -1.535    -1.530    -1.526    -1.521    -1.517    -1.512    -1.507    -1.501    -1.496    -1.490    -1.484    -1.478    -1.471    -1.464    -1.456    -1.449    -1.440    -1.432    -1.423    -1.414    -1.404    -1.394    -1.384    -1.374    -1.363    -1.351    -1.340    -1.328    -1.316    -1.304    -1.292    -1.279    -1.267    -1.254    -1.241    -1.228    -1.215    -1.202    -1.189    -1.176    -1.163    -1.151    -1.138    -1.126    -1.113    -1.101    -1.089    -1.078    -1.066    -1.055    -1.044    -1.034    -1.023    -1.013    -1.004    -0.994    -0.985    -0.976    -0.968    -0.959    -0.951    -0.943    -0.935    -0.928    -0.920    -0.913    -0.905    -0.898    -0.891    -0.883    -0.876    -0.869    -0.861    -0.854    -0.846    -0.838    -0.829    -0.821    -0.812    -0.803    -0.794    -0.785    -0.775    -0.765    -0.755    -0.745    -0.734    -0.723    -0.712    -0.700    -0.689    -0.677    -0.665    -0.653    -0.641    -0.629    -0.617    -0.604    -0.592    -0.580    -0.568    -0.556    -0.543    -0.531    -0.519    -0.507    -0.495    -0.484    -0.472    -0.460    -0.449    -0.437    -0.426    -0.414    -0.403    -0.392    -0.380    -0.369    -0.358    -0.346    -0.335    -0.323    -0.312    -0.300    -0.288    -0.277    -0.265    -0.253    -0.241    -0.228    -0.216    -0.203    -0.191    -0.178    -0.166    -0.153    -0.140    -0.127    -0.114    -0.101    -0.089    -0.076    -0.063    -0.050    -0.037    -0.025    -0.012     0.000     0.012
      1.542     0.000    -1.542    -2.694    -3.337    -3.531    -3.424    -3.170    -2.895    -2.671    -2.528    -2.459    -2.445    -2.459    -2.480    -2.495    -2.498    -2.488    -2.469    -2.445    -2.419    -2.394    -2.371    -2.350    -2.332    -2.315    -2.299    -2.283    -2.268    -2.253    -2.238    -2.224    -2.210    -2.197    -2.185    -2.173    -2.162    -2.151    -2.141    -2.131    -2.122    -2.114    -2.106    -2.098    -2.091    -2.084    -2.077    -2.071    -2.065    -2.059    -2.053    -2.047    -2.041    -2.036    -2.030    -2.024    -2.018    -2.012    -2.005    -1.998    -1.991    -1.984    -1.976    -1.968    -1.960    -1.951    -1.941    -1.931    -1.921    -1.910    -1.899    -1.887    -1.875    -1.862    -1.849    -1.836    -1.821    -1.807    -1.792    -1.777    -1.761    -1.745    -1.729    -1.713    -1.696    -1.679    -1.662    -1.645    -1.628    -1.611    -1.593    -1.576    -1.559    -1.542    -1.525    -1.508    -1.492    -1.475    -1.459    -1.443    -1.428    -1.413    -1.398    -1.384    -1.370    -1.356    -1.343    -1.330    -1.317    -1.305    -1.293    -1.282    -1.270    -1.260    -1.249    -1.239    -1.229    -1.219    -1.209    -1.199    -1.189    -1.180    -1.170    -1.160    -1.150    -1.140    -1.130    -1.120    -1.109    -1.098    -1.087    -1.076    -1.064    -1.052    -1.039    -1.026    -1.013    -0.999    -0.985    -0.971    -0.957    -0.942    -0.927    -0.911    -0.896    -0.880    -0.864    -0.848    -0.832    -0.816    -0.799    -0.783    -0.767    -0.751    -0.734    -0.718    -0.702    -0.686    -0.670    -0.655    -0.639    -0.623    -0.608    -0.593    -0.577    -0.562    -0.547    -0.532    -0.517    -0.502    -0.487    -0.472    -0.457    -0.442    -0.426    -0.411    -0.396    -0.380    -0.364    -0.349    -0.333    -0.316    -0.300    -0.284    -0.267    -0.251    -0.234    -0.217    -0.200    -0.183    -0.166    -0.149    -0.133    -0.116    -0.099    -0.082    -0.065    -0.049    -0.032    -0.016     0.000     0.016
      1.919     0.000    -1.919    -3.352    -4.151    -4.392    -4.258    -3.942    -3.599    -3.321    -3.142    -3.057    -3.039    -3.056    -3.083    -3.102    -3.105    -3.093    -3.069    -3.038    -3.006    -2.974    -2.946    -2.920    -2.898    -2.877    -2.857    -2.837    -2.818    -2.800    -2.781    -2.763    -2.746    -2.730    -2.714    -2.699    -2.685    -2.672    -2.660    -2.648    -2.637    -2.626    -2.616    -2.606    -2.597    -2.589    -2.580    -2.573    -2.565    -2.558    -2.550    -2.543    -2.536    -2.529    -2.522    -2.514    -2.507    -2.499    -2.491    -2.483    -2.474    -2.465    -2.455    -2.445    -2.434    -2.423    -2.411    -2.399    -2.386    -2.373    -2.359    -2.344    -2.329    -2.313    -2.297    -2.280    -2.262    -2.244    -2.226    -2.207    -2.187    -2.167    -2.147    -2.127    -2.106    -2.085    -2.064    -2.042    -2.021    -1.999    -1.978    -1.956    -1.935    -1.914    -1.893    -1.872    -1.851    -1.831    -1.811    -1.791    -1.772    -1.753    -1.735    -1.717    -1.699    -1.682    -1.666    -1.649    -1.634    -1.619    -1.604    -1.590    -1.576    -1.562    -1.549    -1.536    -1.524    -1.511    -1.499    -1.487    -1.475    -1.463    -1.451    -1.439    -1.426    -1.414    -1.401    -1.388    -1.375    -1.362    -1.348    -1.333    -1.319    -1.303    -1.288    -1.272    -1.255    -1.239    -1.221    -1.204    -1.185    -1.167    -1.148    -1.129    -1.110    -1.090    -1.070    -1.050    -1.030    -1.010    -0.990    -0.970    -0.949    -0.929    -0.909    -0.889    -0.869    -0.849    -0.829    -0.810    -0.790    -0.771    -0.752    -0.733    -0.714    -0.695    -0.676    -0.657    -0.639    -0.620    -0.601    -0.583    -0.564    -0.545    -0.526    -0.507    -0.488    -0.469    -0.449    -0.430    -0.410    -0.390    -0.370    -0.349    -0.329    -0.308    -0.288    -0.267    -0.246    -0.225    -0.204    -0.183    -0.162    -0.141    -0.121    -0.100    -0.079    -0.059    -0.039    -0.019     0.000     0.019
      2.290     0.000    -2.290    -4.000    -4.954    -5.241    -5.079    -4.702    -4.292    -3.959    -3.745    -3.644    -3.623    -3.644    -3.676    -3.698    -3.702    -3.687    -3.659    -3.622    -3.583    -3.546    -3.512    -3.481    -3.454    -3.429    -3.405    -3.382    -3.359    -3.337    -3.315    -3.293    -3.273    -3.253    -3.235    -3.217    -3.200    -3.184    -3.169    -3.155    -3.142    -3.129    -3.117    -3.106    -3.095    -3.085    -3.075    -3.065    -3.056    -3.047    -3.039    -3.030    -3.022    -3.013    -3.005    -2.996    -2.987    -2.978    -2.968    -2.958    -2.948    -2.937    -2.925    -2.913    -2.900    -2.887    -2.873    -2.859    -2.843    -2.827    -2.810    -2.793    -2.775    -2.756    -2.736    -2.716    -2.695    -2.673    -2.651    -2.628    -2.605    -2.582    -2.557    -2.533    -2.508    -2.483    -2.458    -2.432    -2.407    -2.381    -2.355    -2.329    -2.304    -2.278    -2.253    -2.228    -2.204    -2.179    -2.155    -2.132    -2.109    -2.086    -2.064    -2.043    -2.022    -2.002    -1.982    -1.963    -1.944    -1.926    -1.908    -1.891    -1.875    -1.859    -1.843    -1.828    -1.812    -1.798    -1.783    -1.769    -1.754    -1.740    -1.726    -1.711    -1.696    -1.682    -1.666    -1.651    -1.635    -1.619    -1.603    -1.586    -1.568    -1.550    -1.531    -1.512    -1.493    -1.472    -1.452    -1.431    -1.409    -1.387    -1.365    -1.342    -1.319    -1.295    -1.272    -1.248    -1.224    -1.200    -1.176    -1.151    -1.127    -1.103    -1.079    -1.055    -1.031    -1.008    -0.984    -0.961    -0.938    -0.915    -0.892    -0.869    -0.846    -0.824    -0.802    -0.779    -0.757    -0.735    -0.713    -0.690    -0.668    -0.646    -0.623    -0.600    -0.578    -0.555    -0.531    -0.508    -0.485    -0.461    -0.437    -0.413    -0.389    -0.364    -0.340    -0.315    -0.290    -0.265    -0.240    -0.216    -0.191    -0.166    -0.142    -0.117    -0.093    -0.069    -0.046    -0.023     0.000     0.023
      2.656     0.000    -2.656    -4.639    -5.743    -6.076    -5.887    -5.449    -4.973    -4.586    -4.338    -4.221    -4.196    -4.221    -4.258    -4.284    -4.288    -4.271    -4.238    -4.195    -4.150    -4.107    -4.067    -4.031    -4.000    -3.970    -3.943    -3.916    -3.890    -3.864    -3.838    -3.813    -3.789    -3.767    -3.745    -3.724    -3.705    -3.687    -3.669    -3.653    -3.637    -3.623    -3.609    -3.596    -3.583    -3.571    -3.560    -3.549    -3.538    -3.528    -3.518    -3.508    -3.498    -3.488    -3.478    -3.468    -3.458    -3.447    -3.436    -3.425    -3.412    -3.400    -3.386    -3.372    -3.358    -3.342    -3.326    -3.309    -3.291    -3.273    -3.253    -3.233    -3.212    -3.190    -3.167    -3.143    -3.119    -3.094    -3.068    -3.042    -3.015    -2.988    -2.960    -2.931    -2.902    -2.873    -2.844    -2.814    -2.784    -2.754    -2.725    -2.695    -2.665    -2.636    -2.606    -2.577    -2.549    -2.520    -2.493    -2.465    -2.439    -2.413    -2.387    -2.362    -2.338    -2.314    -2.291    -2.269    -2.247    -2.226    -2.206    -2.186    -2.167    -2.148    -2.130    -2.112    -2.095    -2.078    -2.061    -2.044    -2.027    -2.011    -1.994    -1.977    -1.960    -1.943    -1.926    -1.908    -1.890    -1.871    -1.852    -1.832    -1.812    -1.791    -1.769    -1.747    -1.724    -1.701    -1.677    -1.652    -1.627    -1.602    -1.576    -1.549    -1.523    -1.496    -1.468    -1.440    -1.413    -1.385    -1.357    -1.329    -1.301    -1.273    -1.245    -1.217    -1.189    -1.162    -1.135    -1.108    -1.081    -1.054    -1.028    -1.001    -0.975    -0.949    -0.923    -0.898    -0.872    -0.846    -0.821    -0.795    -0.769    -0.743    -0.717    -0.691    -0.665    -0.638    -0.611    -0.584    -0.557    -0.530    -0.502    -0.474    -0.446    -0.418    -0.390    -0.361    -0.333    -0.304    -0.275    -0.247    -0.218    -0.190    -0.162    -0.134    -0.106    -0.079    -0.052    -0.026     0.000     0.026
      3.015     0.000    -3.015    -5.266    -6.519    -6.896    -6.681    -6.182    -5.640    -5.202    -4.920    -4.786    -4.759    -4.787    -4.829    -4.858    -4.863    -4.844    -4.806    -4.757    -4.706    -4.656    -4.611    -4.571    -4.535    -4.502    -4.470    -4.439    -4.409    -4.380    -4.351    -4.323    -4.296    -4.270    -4.245    -4.222    -4.200    -4.179    -4.159    -4.140    -4.123    -4.106    -4.090    -4.075    -4.061    -4.048    -4.035    -4.022    -4.010    -3.999    -3.988    -3.976    -3.965    -3.954    -3.943    -3.931    -3.919    -3.907    -3.895    -3.882    -3.868    -3.853    -3.838    -3.823    -3.806    -3.788    -3.770    -3.751    -3.730    -3.709    -3.687    -3.664    -3.640    -3.615    -3.589    -3.562    -3.535    -3.506    -3.477    -3.447    -3.416    -3.385    -3.353    -3.321    -3.288    -3.255    -3.222    -3.188    -3.154    -3.120    -3.086    -3.052    -3.019    -2.985    -2.952    -2.919    -2.886    -2.854    -2.823    -2.792    -2.761    -2.731    -2.702    -2.674    -2.646    -2.620    -2.594    -2.568    -2.544    -2.520    -2.497    -2.474    -2.453    -2.431    -2.411    -2.390    -2.371    -2.351    -2.332    -2.313    -2.294    -2.275    -2.256    -2.237    -2.218    -2.199    -2.179    -2.159    -2.138    -2.117    -2.095    -2.073    -2.050    -2.026    -2.001    -1.976    -1.951    -1.924    -1.897    -1.869    -1.841    -1.812    -1.782    -1.752    -1.722    -1.691    -1.660    -1.628    -1.597    -1.565    -1.533    -1.502    -1.470    -1.438    -1.406    -1.375    -1.344    -1.313    -1.282    -1.251    -1.221    -1.190    -1.160    -1.131    -1.101    -1.071    -1.042    -1.013    -0.984    -0.955    -0.926    -0.896    -0.867    -0.838    -0.808    -0.779    -0.749    -0.719    -0.689    -0.658    -0.628    -0.597    -0.565    -0.534    -0.502    -0.470    -0.438    -0.406    -0.374    -0.342    -0.310    -0.277    -0.245    -0.213    -0.182    -0.150    -0.119    -0.089    -0.059    -0.029     0.000     0.029
